[2026-01-09 18:51:45] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 18:51:45] CACHE MISS | Data: file not found or cache disabled
[2026-01-09 18:51:47] API CALL OK | Data: HTTP: 200, time: 1534ms, saved: yes
[2026-01-09 18:51:47] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 18:51:47] CACHE MISS | Data: file not found or cache disabled
[2026-01-09 18:51:48] API CALL OK | Data: HTTP: 200, time: 1363ms, saved: yes
[2026-01-09 18:51:48] queryWorpress llamado | Data: formas-bcct?per_page=100
[2026-01-09 18:51:48] CACHE MISS | Data: file not found or cache disabled
[2026-01-09 18:51:49] API CALL OK | Data: HTTP: 200, time: 1094ms, saved: yes
[2026-01-09 18:56:12] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 18:56:12] CACHE HIT | Data: age: 265s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 18:56:12] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 18:56:12] CACHE HIT | Data: age: 264s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 18:59:40] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 18:59:40] CACHE HIT | Data: age: 473s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 18:59:40] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 18:59:40] CACHE HIT | Data: age: 472s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 18:59:40] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 18:59:40] CACHE HIT | Data: age: 473s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 18:59:40] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 18:59:40] CACHE HIT | Data: age: 472s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
